"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.jayan-qv41917.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","jayan"
"Cmdline:","dstat --time --cpu --mem --load --net --output 1__32_node.csv 2 2000",,,,"Date:","15 Oct 2018 17:57:36 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m","recv","send"
15-10 17:57:36,4.145,0.721,95.102,0.015,0.0,0.017,1130082304.0,47226880.0,2844262400.0,1.97248741376e+11,0.340,1.960,2.830,0.0,0.0
15-10 17:57:38,0.012,0.012,99.975,0.0,0.0,0.0,1129861120.0,47235072.0,2844266496.0,1.97248950272e+11,0.310,1.920,2.820,7425.0,850.0
15-10 17:57:40,0.0,0.013,99.987,0.0,0.0,0.0,1129209856.0,47235072.0,2844266496.0,1.97249601536e+11,0.310,1.920,2.820,7328.0,3690.0
15-10 17:57:42,1.877,2.491,95.632,0.0,0.0,0.0,1214570496.0,47235072.0,2844266496.0,1.97164240896e+11,0.310,1.920,2.820,6735.0,61.0
15-10 17:57:44,2.050,1.138,96.812,0.0,0.0,0.0,1399169024.0,47243264.0,2844258304.0,1.96979642368e+11,0.370,1.910,2.810,6933.0,1470.0
15-10 17:57:46,4.856,1.798,93.346,0.0,0.0,0.0,2015854592.0,47243264.0,2844545024.0,1.9636267008e+11,0.370,1.910,2.810,7560.0,282.0
15-10 17:57:48,26.685,6.793,66.509,0.0,0.0,0.013,2943660032.0,47243264.0,2844876800.0,1.95434532864e+11,5.060,2.860,3.110,6930.0,0.0
15-10 17:57:50,37.936,9.979,52.033,0.0,0.0,0.052,4587266048.0,47251456.0,3073572864.0,1.93562222592e+11,5.060,2.860,3.110,6390.0,132.0
15-10 17:57:52,45.229,9.310,45.358,0.0,0.0,0.103,6420578304.0,47251456.0,3073581056.0,1.91728902144e+11,5.060,2.860,3.110,6570.0,0.0
15-10 17:57:54,44.545,7.926,47.440,0.0,0.0,0.090,7956869120.0,47251456.0,3074002944.0,1.9019218944e+11,8.740,3.660,3.370,6810.0,121.0
15-10 17:57:56,47.435,9.817,42.384,0.208,0.0,0.156,9944383488.0,47263744.0,3074351104.0,1.88204314624e+11,8.740,3.660,3.370,6330.0,105.0
15-10 17:57:58,46.259,9.755,43.910,0.0,0.0,0.077,12097937408.0,47263744.0,3074637824.0,1.86050473984e+11,12.290,4.480,3.630,5460.0,132.0
15-10 17:58:00,47.087,9.965,42.805,0.0,0.0,0.143,14523228160.0,47263744.0,3075031040.0,1.83624790016e+11,12.290,4.480,3.630,5220.0,105.0
15-10 17:58:02,48.019,9.182,42.722,0.0,0.0,0.078,16544276480.0,47271936.0,3075342336.0,1.81603422208e+11,12.290,4.480,3.630,6330.0,105.0
15-10 17:58:04,50.425,9.153,40.332,0.0,0.0,0.090,18790326272.0,47271936.0,3075342336.0,1.79357372416e+11,14.190,5.0,3.810,7530.0,0.0
15-10 17:58:06,35.983,16.014,47.899,0.052,0.0,0.052,20082454528.0,47271936.0,3075674112.0,1.78064912384e+11,14.190,5.0,3.810,7470.0,105.0
15-10 17:58:08,50.275,8.055,41.606,0.0,0.0,0.064,21759160320.0,47280128.0,3075948544.0,1.76387923968e+11,17.130,5.760,4.060,7230.0,105.0
15-10 17:58:10,44.378,9.441,46.105,0.0,0.0,0.077,23676907520.0,47280128.0,3076276224.0,1.74469849088e+11,17.130,5.760,4.060,7193.0,1349.0
15-10 17:58:12,47.580,8.747,43.582,0.0,0.0,0.091,25825624064.0,47280128.0,3076276224.0,1.72321132544e+11,17.130,5.760,4.060,6619.0,170.0
15-10 17:58:14,47.753,8.629,43.464,0.0,0.0,0.154,28011958272.0,47288320.0,3076669440.0,1.70134396928e+11,21.210,6.800,4.410,6495.0,27.0
15-10 17:58:16,49.820,9.488,40.590,0.0,0.0,0.103,30115004416.0,47288320.0,3077095424.0,1.680309248e+11,21.210,6.800,4.410,7568.0,3905.0
15-10 17:58:18,46.663,8.722,44.525,0.0,0.0,0.090,32063700992.0,47288320.0,3077652480.0,1.66081671168e+11,20.550,6.900,4.450,10021.0,8887.0
15-10 17:58:20,24.113,3.787,72.100,0.0,0.0,0.0,32175435776.0,47296512.0,3078012928.0,1.65969567744e+11,20.550,6.900,4.450,7996.0,7994.0
15-10 17:58:22,24.293,2.893,72.815,0.0,0.0,0.0,32276983808.0,47296512.0,3078311936.0,1.65867720704e+11,20.550,6.900,4.450,7158.0,2700.0
15-10 17:58:24,21.019,5.546,73.422,0.0,0.0,0.013,32541577216.0,47304704.0,3078303744.0,1.65603127296e+11,18.980,6.800,4.430,9083.0,3825.0
15-10 17:58:26,17.625,3.026,79.349,0.0,0.0,0.0,32570753024.0,47304704.0,3078905856.0,1.65573349376e+11,18.980,6.800,4.430,11196.0,15896.0
15-10 17:58:28,17.542,1.917,80.540,0.0,0.0,0.0,32632733696.0,47304704.0,3079303168.0,1.65510971392e+11,21.870,7.600,4.710,10650.0,15935.0
15-10 17:58:30,19.482,1.319,79.199,0.0,0.0,0.0,32615821312.0,47312896.0,3079307264.0,1.65527871488e+11,21.870,7.600,4.710,10594.0,15989.0
15-10 17:58:32,24.909,2.585,72.506,0.0,0.0,0.0,32603947008.0,47312896.0,3079602176.0,1.6553945088e+11,21.870,7.600,4.710,11443.0,15711.0
15-10 17:58:34,24.451,3.312,72.224,0.0,0.0,0.013,32768868352.0,47312896.0,3079815168.0,1.65374316544e+11,20.680,7.590,4.720,11058.0,15496.0
15-10 17:58:36,24.708,3.206,72.073,0.013,0.0,0.0,32966856704.0,47321088.0,3080155136.0,1.65175980032e+11,20.680,7.590,4.720,9998.0,15616.0
15-10 17:58:38,24.563,2.984,72.454,0.0,0.0,0.0,32898252800.0,47321088.0,3080585216.0,1.65244153856e+11,19.100,7.480,4.700,8769.0,15596.0
15-10 17:58:40,25.109,3.045,71.846,0.0,0.0,0.0,32919658496.0,47321088.0,3080945664.0,1.65222387712e+11,19.100,7.480,4.700,6267.0,675.0
15-10 17:58:42,22.089,3.366,74.545,0.0,0.0,0.0,33045106688.0,47329280.0,3080941568.0,1.65096935424e+11,19.100,7.480,4.700,9527.0,13169.0
15-10 17:58:44,18.679,2.984,78.337,0.0,0.0,0.0,32929263616.0,47329280.0,3081256960.0,1.65212463104e+11,17.650,7.370,4.680,10386.0,15896.0
15-10 17:58:46,13.893,1.318,84.789,0.0,0.0,0.0,33140305920.0,47329280.0,3082346496.0,1.65000331264e+11,17.650,7.370,4.680,10360.0,15922.0
15-10 17:58:48,22.676,1.844,75.480,0.0,0.0,0.0,33040601088.0,47337472.0,3082092544.0,1.65100281856e+11,16.320,7.270,4.660,9977.0,15843.0
15-10 17:58:50,24.066,4.325,71.608,0.0,0.0,0.0,32972316672.0,47337472.0,3082289152.0,1.65168369664e+11,16.320,7.270,4.660,9425.0,15141.0
15-10 17:58:52,24.928,2.418,72.654,0.0,0.0,0.0,32976138240.0,47337472.0,3082649600.0,1.65164187648e+11,16.320,7.270,4.660,7207.0,3117.0
15-10 17:58:54,24.380,3.292,72.328,0.0,0.0,0.0,32854429696.0,47345664.0,3083022336.0,1.65285515264e+11,18.930,7.960,4.900,7714.0,3632.0
15-10 17:58:56,24.159,4.506,71.323,0.0,0.0,0.013,33118052352.0,47345664.0,3083313152.0,1.65021601792e+11,18.930,7.960,4.900,9122.0,12640.0
15-10 17:58:58,24.432,2.560,72.995,0.0,0.0,0.013,32951820288.0,47345664.0,3083313152.0,1.65187833856e+11,17.980,7.940,4.910,9897.0,16137.0
15-10 17:59:00,19.895,2.521,77.584,0.0,0.0,0.0,32878518272.0,47353856.0,3083616256.0,1.65260824576e+11,17.980,7.940,4.910,10136.0,16465.0
15-10 17:59:02,16.600,3.418,79.982,0.0,0.0,0.0,33300582400.0,47353856.0,3083919360.0,1.64838457344e+11,17.980,7.940,4.910,10061.0,15851.0
15-10 17:59:04,18.527,2.168,79.305,0.0,0.0,0.0,32822505472.0,47353856.0,3084177408.0,1.65316276224e+11,16.620,7.830,4.890,10169.0,13091.0
15-10 17:59:06,21.532,1.440,77.028,0.0,0.0,0.0,32731402240.0,47362048.0,3084464128.0,1.65407084544e+11,16.620,7.830,4.890,8145.0,3719.0
15-10 17:59:08,24.345,2.973,72.670,0.0,0.0,0.013,32824811520.0,47362048.0,3085180928.0,1.65312958464e+11,15.370,7.720,4.870,10101.0,16015.0
15-10 17:59:10,24.264,3.648,72.088,0.0,0.0,0.0,32915005440.0,47362048.0,3085770752.0,1.6522217472e+11,15.370,7.720,4.870,10957.500,17220.500
15-10 17:59:12,24.560,3.359,72.069,0.0,0.0,0.012,32891133952.0,47370240.0,3086073856.0,1.65245734912e+11,15.370,7.720,4.870,11473.0,15962.0
15-10 17:59:14,25.106,3.110,71.784,0.0,0.0,0.0,32909574144.0,47370240.0,3086688256.0,1.6522668032e+11,17.660,8.320,5.080,10409.0,14367.0
15-10 17:59:16,24.147,4.174,71.679,0.0,0.0,0.0,32960315392.0,47370240.0,3087097856.0,1.65175529472e+11,17.660,8.320,5.080,6990.0,0.0
15-10 17:59:18,22.678,2.616,74.693,0.013,0.0,0.0,33100034048.0,47378432.0,3087089664.0,1.65035810816e+11,19.690,8.890,5.280,7009.0,45.0
15-10 17:59:20,19.633,2.897,77.457,0.0,0.0,0.012,33048780800.0,47378432.0,3087499264.0,1.65086654464e+11,19.690,8.890,5.280,6090.0,0.0
15-10 17:59:22,11.620,1.707,86.673,0.0,0.0,0.0,33173069824.0,47378432.0,3087785984.0,1.6496207872e+11,19.690,8.890,5.280,6030.0,0.0
15-10 17:59:24,21.542,2.611,75.847,0.0,0.0,0.0,33085837312.0,47386624.0,3088138240.0,1.65048950784e+11,18.270,8.780,5.260,6150.0,0.0
