"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.jayan-qv41917.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","jayan"
"Cmdline:","dstat --time --cpu --mem --load --net --output 1_node.csv 2 2000",,,,"Date:","15 Oct 2018 13:37:45 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m","recv","send"
15-10 13:37:45,3.496,0.625,95.843,0.017,0.0,0.019,1042890752.0,17379328.0,126554112.0,2.00083488768e+11,0.0,0.050,2.250,0.0,0.0
15-10 13:37:47,0.0,0.012,99.988,0.0,0.0,0.0,1042776064.0,17379328.0,126689280.0,2.00083468288e+11,0.0,0.050,2.250,7290.0,1112.0
15-10 13:37:49,0.013,0.0,99.987,0.0,0.0,0.0,1043030016.0,17379328.0,126689280.0,2.00083214336e+11,0.0,0.050,2.250,6983.0,3533.0
15-10 13:37:51,0.013,0.013,99.975,0.0,0.0,0.0,1042894848.0,17387520.0,126689280.0,2.00083341312e+11,0.0,0.050,2.240,6225.0,89.0
15-10 13:37:53,0.013,0.013,99.975,0.0,0.0,0.0,1042784256.0,17387520.0,126689280.0,2.00083451904e+11,0.0,0.050,2.240,6672.0,252.0
15-10 13:37:55,2.363,3.039,94.123,0.463,0.0,0.013,1155784704.0,19587072.0,160477184.0,1.99934464e+11,0.080,0.060,2.230,7065.0,234.0
15-10 13:37:57,0.525,0.038,99.437,0.0,0.0,0.0,1048313856.0,19603456.0,163561472.0,2.00038834176e+11,0.080,0.060,2.230,8550.0,2105.0
15-10 13:37:59,0.013,0.0,99.987,0.0,0.0,0.0,1048035328.0,19603456.0,163569664.0,2.00039104512e+11,0.080,0.060,2.230,9049.0,334.0
15-10 13:38:01,0.013,0.0,99.987,0.0,0.0,0.0,1048719360.0,19603456.0,163569664.0,2.0003842048e+11,0.070,0.060,2.220,9004.0,7098.0


"Host:","node-0.jayan-qv41917.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","jayan"
"Cmdline:","dstat --time --cpu --mem --load --net --output 1_node.csv 2 2000",,,,"Date:","15 Oct 2018 13:41:28 CDT"

