"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.jayan-qv41917.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","jayan"
"Cmdline:","dstat --time --cpu --mem --load --net --output 1_256_node.csv 2 2000",,,,"Date:","16 Oct 2018 13:47:23 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m","recv","send"
16-10 13:47:23,4.210,0.655,95.114,0.009,0.0,0.011,1215692800.0,110952448.0,5096517632.0,1.9484715008e+11,0.0,0.0,0.0,0.0,0.0
16-10 13:47:25,0.0,0.012,99.988,0.0,0.0,0.0,1215016960.0,110952448.0,5096521728.0,1.94847821824e+11,0.0,0.0,0.0,5763.0,1028.0
16-10 13:47:27,0.0,0.025,99.975,0.0,0.0,0.0,1214889984.0,110952448.0,5096521728.0,1.948479488e+11,0.0,0.0,0.0,5670.0,451.0
16-10 13:47:29,0.0,0.013,99.987,0.0,0.0,0.0,1214754816.0,110960640.0,5096521728.0,1.94848075776e+11,0.0,0.0,0.0,5646.0,868.0
16-10 13:47:31,0.0,0.013,99.987,0.0,0.0,0.0,1214500864.0,110960640.0,5096521728.0,1.94848329728e+11,0.0,0.0,0.0,6060.0,451.0
16-10 13:47:33,0.0,0.025,99.975,0.0,0.0,0.0,1214373888.0,110960640.0,5096521728.0,1.94848456704e+11,0.0,0.0,0.0,6870.0,451.0
16-10 13:47:35,0.0,0.025,99.975,0.0,0.0,0.0,1214103552.0,110968832.0,5096513536.0,1.9484872704e+11,0.0,0.0,0.0,7208.0,601.0
16-10 13:47:37,0.0,0.025,99.975,0.0,0.0,0.0,1213968384.0,110968832.0,5096521728.0,1.94848854016e+11,0.0,0.0,0.0,5858.0,3237.0
16-10 13:47:39,0.0,0.013,99.987,0.0,0.0,0.0,1213661184.0,110968832.0,5096521728.0,1.94849161216e+11,0.0,0.0,0.0,5310.0,0.0
16-10 13:47:41,1.364,2.565,96.071,0.0,0.0,0.0,1263509504.0,110977024.0,5096521728.0,1.94799304704e+11,0.0,0.0,0.0,5805.0,88.0
16-10 13:47:43,2.224,1.062,96.714,0.0,0.0,0.0,1448177664.0,110977024.0,5096521728.0,1.94614636544e+11,0.0,0.0,0.0,6063.0,1424.0
16-10 13:47:45,4.191,1.939,93.857,0.0,0.0,0.013,2047209472.0,110977024.0,5096521728.0,1.94015604736e+11,3.360,0.700,0.230,4890.0,282.0
16-10 13:47:47,27.265,7.870,64.804,0.012,0.0,0.050,3825782784.0,110981120.0,5097132032.0,1.92236417024e+11,3.360,0.700,0.230,4020.0,0.0
16-10 13:47:49,56.532,5.923,37.506,0.0,0.0,0.039,4422733824.0,110981120.0,5097132032.0,1.91639465984e+11,3.360,0.700,0.230,3330.0,0.0
16-10 13:47:51,42.887,6.909,50.125,0.0,0.0,0.079,5442199552.0,110981120.0,5097132032.0,1.90620000256e+11,7.100,1.520,0.490,3660.0,0.0
16-10 13:47:53,34.091,13.076,52.691,0.052,0.0,0.090,6815129600.0,110989312.0,5097127936.0,1.89247066112e+11,7.100,1.520,0.490,4050.0,0.0
16-10 13:47:55,46.955,6.582,46.372,0.0,0.0,0.091,8569425920.0,110989312.0,5097132032.0,1.87492765696e+11,11.410,2.500,0.820,4260.0,0.0
16-10 13:47:57,42.329,8.083,49.522,0.0,0.0,0.066,10171895808.0,110989312.0,5177143296.0,1.85810284544e+11,11.410,2.500,0.820,4680.0,105.0
16-10 13:47:59,51.907,7.477,40.526,0.0,0.0,0.089,12231856128.0,110989312.0,5326127104.0,1.83601340416e+11,11.410,2.500,0.820,4890.0,132.0
16-10 13:48:01,57.916,3.841,37.776,0.311,0.0,0.156,12943118336.0,110997504.0,5326127104.0,1.82890070016e+11,14.910,3.380,1.110,5520.0,0.0
