"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.jayan-qv41917.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","jayan"
"Cmdline:","dstat --time --cpu --mem --load --net --output 2_128_ps_fake.csv 2 2000",,,,"Date:","16 Oct 2018 18:35:15 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m","recv","send"
16-10 18:35:15,3.979,0.617,95.384,0.009,0.0,0.010,1182298112.0,34144256.0,761409536.0,1.99292461056e+11,0.090,2.650,3.210,0.0,0.0
16-10 18:35:17,0.0,0.025,99.975,0.0,0.0,0.0,1182019584.0,34152448.0,761405440.0,1.99292735488e+11,0.090,2.650,3.210,5310.0,1112.0
16-10 18:35:19,0.0,0.0,100.0,0.0,0.0,0.0,1181503488.0,34152448.0,761413632.0,1.99293243392e+11,0.090,2.610,3.190,5858.0,102.0
16-10 18:35:21,0.0,0.013,99.987,0.0,0.0,0.0,1181495296.0,34152448.0,761413632.0,1.99293251584e+11,0.090,2.610,3.190,6555.0,3360.0
16-10 18:35:23,0.012,0.012,99.975,0.0,0.0,0.0,1181503488.0,34160640.0,761405440.0,1.99293243392e+11,0.090,2.610,3.190,7305.0,585.0
16-10 18:35:25,0.013,0.050,99.937,0.0,0.0,0.0,985600000.0,34160640.0,761413632.0,1.99489138688e+11,0.080,2.570,3.180,7219.0,532.0
16-10 18:35:27,0.0,0.013,99.987,0.0,0.0,0.0,985600000.0,34160640.0,761413632.0,1.99489138688e+11,0.080,2.570,3.180,6698.0,146.0
16-10 18:35:29,0.0,0.013,99.987,0.0,0.0,0.0,985600000.0,34168832.0,761405440.0,1.99489138688e+11,0.070,2.520,3.160,6643.0,572.0
16-10 18:35:31,0.013,0.013,99.975,0.0,0.0,0.0,985337856.0,34168832.0,761413632.0,1.9948939264e+11,0.070,2.520,3.160,6806.0,792.0
16-10 18:35:33,0.0,0.013,99.987,0.0,0.0,0.0,985231360.0,34168832.0,761413632.0,1.99489499136e+11,0.070,2.520,3.160,6619.0,478.0
16-10 18:35:35,0.025,0.025,99.950,0.0,0.0,0.0,985194496.0,34177024.0,761405440.0,1.99489536e+11,0.070,2.480,3.140,7485.0,638.0
16-10 18:35:37,0.012,0.025,99.963,0.0,0.0,0.0,985186304.0,34177024.0,761413632.0,1.99489536e+11,0.070,2.480,3.140,7965.0,242.0
16-10 18:35:39,0.0,0.0,100.0,0.0,0.0,0.0,985075712.0,34177024.0,761413632.0,1.99489646592e+11,0.060,2.440,3.120,7545.0,524.0
16-10 18:35:41,2.852,4.479,92.669,0.0,0.0,0.0,1177415680.0,34185216.0,761405440.0,1.99297306624e+11,0.060,2.440,3.120,7328.0,1638.0
16-10 18:35:43,0.0,0.025,99.975,0.0,0.0,0.0,1179955200.0,34185216.0,761413632.0,1.99294758912e+11,0.060,2.440,3.120,8100.0,536.0
16-10 18:35:45,0.0,0.0,100.0,0.0,0.0,0.0,1179828224.0,34185216.0,761413632.0,1.99294885888e+11,0.060,2.400,3.110,7935.0,77.0
16-10 18:35:47,0.012,0.025,99.950,0.012,0.0,0.0,1179619328.0,34193408.0,761405440.0,1.99295094784e+11,0.060,2.400,3.110,8505.0,752.0
16-10 18:35:49,0.013,0.013,99.975,0.0,0.0,0.0,1179357184.0,34193408.0,761413632.0,1.99295348736e+11,0.050,2.360,3.090,8588.0,7168.0
16-10 18:35:51,0.0,0.013,99.987,0.0,0.0,0.0,1179365376.0,34193408.0,761413632.0,1.99295340544e+11,0.050,2.360,3.090,9098.0,613.0
16-10 18:35:53,0.0,0.025,99.975,0.0,0.0,0.0,1179906048.0,34201600.0,761405440.0,1.99294799872e+11,0.050,2.360,3.090,8970.0,3512.0
16-10 18:35:55,0.0,0.0,100.0,0.0,0.0,0.0,1179475968.0,34201600.0,761413632.0,1.9929522176e+11,0.050,2.320,3.070,9375.0,439.0
16-10 18:35:57,0.0,0.038,99.962,0.0,0.0,0.0,1179947008.0,34201600.0,761413632.0,1.9929475072e+11,0.050,2.320,3.070,10127.0,783.500
16-10 18:35:59,0.013,0.013,99.975,0.0,0.0,0.0,1179566080.0,34209792.0,761405440.0,1.99295131648e+11,0.120,2.300,3.060,12324.0,2056.500
16-10 18:36:01,0.0,0.013,99.987,0.0,0.0,0.0,1179557888.0,34209792.0,761413632.0,1.99295131648e+11,0.120,2.300,3.060,9795.0,293.0
16-10 18:36:03,0.0,0.013,99.987,0.0,0.0,0.0,1179549696.0,34209792.0,761413632.0,1.9929513984e+11,0.120,2.300,3.060,8670.0,0.0
16-10 18:36:05,2.051,3.039,94.909,0.0,0.0,0.0,1279164416.0,34217984.0,761405440.0,1.9919552512e+11,0.110,2.260,3.050,8025.0,61.0
16-10 18:36:07,2.278,1.102,96.620,0.0,0.0,0.0,1324908544.0,34217984.0,761413632.0,1.991497728e+11,0.110,2.260,3.050,7117.500,1718.0
16-10 18:36:09,4.365,1.901,93.734,0.0,0.0,0.0,1973387264.0,34217984.0,761413632.0,1.9850129408e+11,3.470,2.920,3.250,6885.0,61.0
16-10 18:36:11,10.993,2.397,86.535,0.0,0.0,0.075,2972110848.0,34226176.0,762368000.0,1.97501607936e+11,3.470,2.920,3.250,63958.0,180467964.500
16-10 18:36:13,31.907,5.146,62.872,0.013,0.0,0.063,2232328192.0,34226176.0,762376192.0,1.982413824e+11,3.470,2.920,3.250,127123444.0,68346.0
16-10 18:36:15,5.188,1.742,93.033,0.0,0.0,0.038,2598871040.0,34230272.0,763056128.0,1.9787415552e+11,3.270,2.890,3.240,737753.0,127781325.0
16-10 18:36:17,36.605,3.911,58.957,0.401,0.0,0.125,2393546752.0,34242560.0,762535936.0,1.98079987712e+11,3.270,2.890,3.240,125734196.0,52677314.0
