"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.jayan-qv41917.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","jayan"
"Cmdline:","dstat --time --cpu --mem --load --net --output 2__32_node.csv 2 2000",,,,"Date:","15 Oct 2018 19:46:57 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m","recv","send"
15-10 19:46:57,5.866,0.905,93.198,0.014,0.0,0.017,1280241664.0,63225856.0,4710047744.0,1.95216797696e+11,0.480,11.960,19.890,0.0,0.0
15-10 19:46:59,0.0,0.012,99.988,0.0,0.0,0.0,1280319488.0,63225856.0,4710051840.0,1.95216715776e+11,0.440,11.770,19.780,7170.0,823.0
15-10 19:47:01,0.012,0.012,99.975,0.0,0.0,0.0,1280266240.0,63225856.0,4710051840.0,1.95216769024e+11,0.440,11.770,19.780,6534.0,743.0
15-10 19:47:03,0.0,0.013,99.987,0.0,0.0,0.0,1280593920.0,63234048.0,4710051840.0,1.95216433152e+11,0.410,11.570,19.680,5794.0,3213.0
15-10 19:47:05,2.115,3.629,94.256,0.0,0.0,0.0,1373503488.0,63234048.0,4710051840.0,1.95123523584e+11,0.410,11.570,19.680,5685.0,61.0
15-10 19:47:07,1.976,1.263,96.761,0.0,0.0,0.0,1494671360.0,63234048.0,4710051840.0,1.95002355712e+11,0.410,11.570,19.680,6133.500,2162.0
15-10 19:47:09,4.833,1.716,93.451,0.0,0.0,0.0,2187255808.0,63242240.0,4710821888.0,1.94308993024e+11,0.460,11.390,19.580,6210.0,282.0
15-10 19:47:11,24.873,8.731,66.307,0.0,0.0,0.089,3569307648.0,63242240.0,4710658048.0,1.92927105024e+11,0.460,11.390,19.580,6660.0,0.0
15-10 19:47:13,54.516,16.009,29.282,0.0,0.0,0.193,5311152128.0,63242240.0,4710658048.0,1.91185260544e+11,8.190,12.820,19.990,7260.0,0.0
15-10 19:47:15,43.407,12.920,43.013,0.432,0.0,0.228,7605325824.0,63254528.0,4939526144.0,1.88662206464e+11,8.190,12.820,19.990,7770.0,132.0
15-10 19:47:17,52.857,14.734,32.143,0.013,0.0,0.252,9103945728.0,63254528.0,4939526144.0,1.8716358656e+11,8.190,12.820,19.990,7770.0,0.0
15-10 19:47:19,50.683,11.649,37.503,0.0,0.0,0.164,11001614336.0,63254528.0,4940025856.0,1.8526541824e+11,11.300,13.380,20.140,7230.0,105.0
15-10 19:47:21,49.949,11.754,38.132,0.0,0.0,0.164,13003796480.0,63262720.0,4940431360.0,1.832628224e+11,11.300,13.380,20.140,8370.0,105.0
