"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.jayan-qv41917.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","jayan"
"Cmdline:","dstat --time --cpu --mem --load --output 2_nodes.csv 2 3000",,,,"Date:","15 Oct 2018 02:16:41 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m"
15-10 02:16:41,2.559,0.497,96.917,0.014,0.0,0.014,1187319808.0,23363584.0,1713889280.0,1.98345740288e+11,8.830,12.120,13.400
15-10 02:16:43,0.0,0.012,99.988,0.0,0.0,0.0,1187188736.0,23363584.0,1713893376.0,1.98345867264e+11,8.120,11.920,13.320
15-10 02:16:45,0.0,0.013,99.987,0.0,0.0,0.0,1187303424.0,23371776.0,1713893376.0,1.98345744384e+11,8.120,11.920,13.320


"Host:","node-0.jayan-qv41917.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","jayan"
"Cmdline:","dstat --time --cpu --mem --load --output 2_nodes.csv 2 3000",,,,"Date:","15 Oct 2018 02:17:02 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m"
15-10 02:17:02,2.558,0.497,96.918,0.014,0.0,0.014,1188704256.0,23535616.0,1713979392.0,1.98344093696e+11,6.320,11.330,13.110
15-10 02:17:04,0.012,0.025,99.963,0.0,0.0,0.0,1188524032.0,23535616.0,1713979392.0,1.9834427392e+11,5.820,11.140,13.040
15-10 02:17:06,0.0,0.025,99.975,0.0,0.0,0.0,1188397056.0,23535616.0,1713979392.0,1.98344400896e+11,5.820,11.140,13.040
15-10 02:17:08,0.0,0.0,100.0,0.0,0.0,0.0,1188261888.0,23543808.0,1713979392.0,1.98344527872e+11,5.350,10.960,12.970
15-10 02:17:10,0.0,0.013,99.987,0.0,0.0,0.0,1188233216.0,23543808.0,1713979392.0,1.98344556544e+11,5.350,10.960,12.970
15-10 02:17:12,1.838,2.176,95.986,0.0,0.0,0.0,1291935744.0,23543808.0,1713979392.0,1.98240854016e+11,5.350,10.960,12.970
15-10 02:17:14,2.425,1.062,96.500,0.0,0.0,0.013,1400958976.0,23552000.0,1713971200.0,1.98131830784e+11,5.0,10.790,12.900
15-10 02:17:16,3.573,1.849,94.578,0.0,0.0,0.0,1868148736.0,23552000.0,1713979392.0,1.97664632832e+11,5.0,10.790,12.900
15-10 02:17:18,12.398,4.477,83.087,0.0,0.0,0.038,2893819904.0,23556096.0,1715019776.0,1.96637917184e+11,7.400,11.200,13.020
15-10 02:17:20,45.012,11.103,43.591,0.0,0.0,0.295,4405436416.0,23564288.0,1715011584.0,1.95126300672e+11,7.400,11.200,13.020
15-10 02:17:22,38.833,11.212,49.687,0.0,0.0,0.268,6965129216.0,23576576.0,1715863552.0,1.92565743616e+11,7.400,11.200,13.020
15-10 02:17:24,49.524,11.979,38.136,0.0,0.0,0.360,8495345664.0,23576576.0,1715863552.0,1.91035527168e+11,10.970,11.870,13.230
15-10 02:17:26,45.263,10.340,43.736,0.432,0.0,0.229,10945794048.0,23588864.0,1716158464.0,1.88584771584e+11,10.970,11.870,13.230
15-10 02:17:28,52.234,10.898,36.423,0.0,0.0,0.446,13117190144.0,23588864.0,1716940800.0,1.86412593152e+11,16.100,12.920,13.570
15-10 02:17:30,50.873,10.842,37.941,0.0,0.0,0.344,14873309184.0,23588864.0,1716957184.0,1.84656457728e+11,16.100,12.920,13.570
15-10 02:17:32,50.679,10.154,38.771,0.0,0.0,0.397,16876908544.0,23597056.0,1717440512.0,1.82652366848e+11,16.100,12.920,13.570
15-10 02:17:34,47.577,10.625,41.580,0.0,0.0,0.217,18924015616.0,23597056.0,1717841920.0,1.80604858368e+11,19.220,13.620,13.790
15-10 02:17:36,45.841,10.939,42.839,0.0,0.0,0.382,21190868992.0,23605248.0,1717837824.0,1.78338000896e+11,19.220,13.620,13.790
15-10 02:17:38,56.260,11.346,32.050,0.0,0.0,0.344,23015718912.0,23605248.0,1718300672.0,1.76512688128e+11,22.640,14.420,14.050
15-10 02:17:40,51.770,9.364,38.597,0.0,0.0,0.269,24942542848.0,23605248.0,1718984704.0,1.7458518016e+11,22.640,14.420,14.050
15-10 02:17:42,47.194,11.030,41.519,0.0,0.0,0.257,27075911680.0,23613440.0,1719721984.0,1.72451065856e+11,22.640,14.420,14.050
15-10 02:17:44,45.587,10.355,43.638,0.0,0.0,0.420,29413519360.0,23613440.0,1720246272.0,1.70112933888e+11,25.150,15.080,14.260
15-10 02:17:46,55.105,10.235,34.276,0.0,0.0,0.384,31317934080.0,23613440.0,1720246272.0,1.68208519168e+11,25.150,15.080,14.260
15-10 02:17:48,51.113,10.106,38.439,0.0,0.0,0.342,33088356352.0,23621632.0,1720676352.0,1.66437658624e+11,25.300,15.280,14.330
15-10 02:17:50,51.691,9.929,38.102,0.0,0.0,0.278,34862157824.0,23621632.0,1721118720.0,1.64663414784e+11,25.300,15.280,14.330
15-10 02:17:52,44.404,9.431,45.831,0.0,0.0,0.334,37112860672.0,23629824.0,1721552896.0,1.62412269568e+11,25.300,15.280,14.330
15-10 02:17:54,53.703,10.853,34.921,0.0,0.0,0.523,39259455488.0,23629824.0,1722322944.0,1.60264904704e+11,28.160,16.040,14.580
15-10 02:17:56,50.669,10.437,38.529,0.0,0.0,0.366,40927264768.0,23629824.0,1722155008.0,1.5859726336e+11,28.160,16.040,14.580
15-10 02:17:58,50.413,9.958,39.299,0.0,0.0,0.330,42634526720.0,23642112.0,1722580992.0,1.56889563136e+11,33.910,17.430,15.040
15-10 02:18:00,44.135,12.174,43.425,0.0,0.0,0.266,44841738240.0,23642112.0,1723047936.0,1.54681884672e+11,33.910,17.430,15.040
15-10 02:18:02,48.722,10.463,40.397,0.0,0.0,0.418,47069384704.0,23650304.0,1723424768.0,1.52453853184e+11,33.910,17.430,15.040
15-10 02:18:04,52.899,11.239,35.558,0.0,0.0,0.304,48747581440.0,23650304.0,1723432960.0,1.50775648256e+11,40.570,19.090,15.590
15-10 02:18:06,51.597,10.424,37.559,0.0,0.0,0.420,50857947136.0,23650304.0,1724088320.0,1.486646272e+11,40.570,19.090,15.590
15-10 02:18:08,49.659,8.888,41.157,0.013,0.0,0.283,52602535936.0,23658496.0,1724747776.0,1.46919370752e+11,46.210,20.610,16.100
15-10 02:18:10,46.041,11.321,42.297,0.0,0.0,0.340,54743687168.0,23658496.0,1725120512.0,1.44777846784e+11,46.210,20.610,16.100
15-10 02:18:12,52.549,10.710,36.318,0.0,0.0,0.423,56897519616.0,23666688.0,1725882368.0,1.42623244288e+11,46.210,20.610,16.100
15-10 02:18:14,51.283,10.049,38.301,0.0,0.0,0.367,58525286400.0,23666688.0,1725652992.0,1.4099570688e+11,46.350,21.070,16.270
15-10 02:18:16,51.337,9.776,38.646,0.0,0.0,0.242,60479807488.0,23666688.0,1726173184.0,1.390406656e+11,46.350,21.070,16.270
15-10 02:18:18,49.981,10.418,39.283,0.0,0.0,0.318,62682857472.0,23674880.0,1726750720.0,1.36837029888e+11,50.090,22.260,16.680
15-10 02:18:20,46.217,10.775,42.715,0.0,0.0,0.294,65016111104.0,23674880.0,1727389696.0,1.3450313728e+11,50.090,22.260,16.680
15-10 02:18:22,52.825,10.578,36.147,0.0,0.0,0.450,66811576320.0,23674880.0,1727389696.0,1.32707672064e+11,50.090,22.260,16.680
15-10 02:18:24,46.332,12.567,40.683,0.038,0.0,0.381,68244455424.0,23683072.0,1727778816.0,1.31274395648e+11,54.330,23.600,17.150
15-10 02:18:26,51.794,10.025,37.913,0.013,0.0,0.254,70458241024.0,23683072.0,1728098304.0,1.2906029056e+11,54.330,23.600,17.150
15-10 02:18:28,45.886,10.774,43.084,0.0,0.0,0.256,72863543296.0,23691264.0,1728544768.0,1.26654533632e+11,50.450,23.310,17.090
15-10 02:18:30,51.792,10.571,37.182,0.0,0.0,0.455,75079958528.0,23691264.0,1729314816.0,1.24437348352e+11,50.450,23.310,17.090
15-10 02:18:32,51.237,9.707,38.715,0.0,0.0,0.341,76652056576.0,23691264.0,1729146880.0,1.2286541824e+11,50.450,23.310,17.090
15-10 02:18:34,51.358,9.789,38.436,0.0,0.0,0.417,78730985472.0,23699456.0,1729564672.0,1.2078606336e+11,46.890,23.020,17.030
15-10 02:18:36,52.584,10.056,37.065,0.0,0.0,0.294,80823074816.0,23699456.0,1729998848.0,1.1869353984e+11,46.890,23.020,17.030
15-10 02:18:38,48.221,9.964,41.472,0.013,0.0,0.330,83240693760.0,23707648.0,1730621440.0,1.16275290112e+11,43.780,22.770,16.980
15-10 02:18:40,51.481,11.110,36.888,0.0,0.0,0.521,85853642752.0,23707648.0,1731223552.0,1.13661739008e+11,43.780,22.770,16.980
15-10 02:18:42,56.285,10.428,32.889,0.0,0.0,0.398,87495016448.0,23707648.0,1731223552.0,1.12020365312e+11,43.780,22.770,16.980
15-10 02:18:44,52.504,10.357,36.798,0.0,0.0,0.341,89774743552.0,23715840.0,1731727360.0,1.09740126208e+11,44.520,23.270,17.170
15-10 02:18:46,48.580,12.024,39.076,0.0,0.0,0.320,91292844032.0,23715840.0,1732251648.0,1.0822150144e+11,44.520,23.270,17.170
15-10 02:18:48,45.179,9.398,45.230,0.0,0.0,0.193,93775486976.0,23715840.0,1732534272.0,1.05738575872e+11,41.350,22.970,17.110
15-10 02:18:50,52.425,11.366,35.752,0.0,0.0,0.458,96118472704.0,23724032.0,1733296128.0,1.03394820096e+11,41.350,22.970,17.110
15-10 02:18:52,52.251,9.608,37.764,0.0,0.0,0.377,97927909376.0,23724032.0,1733132288.0,1.01585547264e+11,41.350,22.970,17.110
15-10 02:18:54,49.173,9.550,41.010,0.0,0.0,0.267,99637956608.0,23724032.0,1733566464.0,99875065856.0,38.600,22.710,17.050
