"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.jayan-qv41917.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","jayan"
"Cmdline:","dstat --time --cpu --mem --load --net --output 2_256_fake_node.csv 2 2000",,,,"Date:","16 Oct 2018 18:07:28 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m","recv","send"
16-10 18:07:28,3.943,0.612,95.425,0.009,0.0,0.010,1171193856.0,28639232.0,209022976.0,1.99861456896e+11,0.040,0.010,0.0,0.0,0.0
16-10 18:07:30,0.0,0.012,99.988,0.0,0.0,0.0,1170853888.0,28639232.0,209047552.0,1.99861772288e+11,0.040,0.010,0.0,7083.0,1453.0
16-10 18:07:32,0.013,0.0,99.987,0.0,0.0,0.0,1171087360.0,28639232.0,209047552.0,1.99861538816e+11,0.040,0.010,0.0,7221.0,2961.0
16-10 18:07:34,1.626,3.027,95.347,0.0,0.0,0.0,1225916416.0,28651520.0,209149952.0,1.99806595072e+11,0.030,0.010,0.0,6495.0,234.0
16-10 18:07:36,1.676,0.288,97.548,0.463,0.0,0.025,1291010048.0,30593024.0,244686848.0,1.9970402304e+11,0.030,0.010,0.0,6213.0,762.0
16-10 18:07:38,1.578,1.678,96.731,0.013,0.0,0.0,1349332992.0,30593024.0,246816768.0,1.99643570176e+11,0.110,0.030,0.010,7600.500,981.0
16-10 18:07:40,5.101,1.288,93.587,0.025,0.0,0.0,2121854976.0,30748672.0,250269696.0,1.98867439616e+11,0.110,0.030,0.010,6810.0,282.0
16-10 18:07:42,26.637,5.047,67.829,0.375,0.0,0.112,3498917888.0,30748672.0,254562304.0,1.97486084096e+11,0.110,0.030,0.010,91785.0,233128414.0
16-10 18:07:44,43.268,5.220,51.387,0.013,0.0,0.113,2641924096.0,30756864.0,255750144.0,1.98341881856e+11,3.790,0.790,0.250,123871380.0,56213.500
16-10 18:07:46,2.264,0.213,97.511,0.0,0.0,0.013,2215927808.0,30756864.0,255750144.0,1.98767878144e+11,3.790,0.790,0.250,3250016.0,2305.0
16-10 18:07:48,3.271,1.604,95.087,0.013,0.0,0.025,2548178944.0,31285248.0,500977664.0,1.98189871104e+11,3.560,0.800,0.260,729613.0,106605408.0
16-10 18:07:50,35.380,4.959,59.033,0.527,0.0,0.100,3173392384.0,31297536.0,501092352.0,1.97564530688e+11,3.560,0.800,0.260,38670.500,126434547.500
16-10 18:07:52,30.996,9.539,59.352,0.0,0.0,0.113,2506186752.0,31297536.0,501092352.0,1.9823173632e+11,3.560,0.800,0.260,125718406.500,49906.500
16-10 18:07:54,1.201,0.038,98.762,0.0,0.0,0.0,2257764352.0,31305728.0,501084160.0,1.9848015872e+11,3.440,0.820,0.270,2041447.0,1782.0
16-10 18:07:56,8.239,1.956,89.717,0.0,0.0,0.088,2878443520.0,31305728.0,501264384.0,1.97859299328e+11,3.440,0.820,0.270,88873.500,127781459.500
16-10 18:07:58,55.093,5.463,39.343,0.0,0.0,0.100,3131572224.0,31305728.0,501264384.0,1.97606170624e+11,6.930,1.580,0.520,122651571.500,105298960.0
16-10 18:08:00,8.368,0.600,90.969,0.050,0.0,0.013,2272686080.0,31313920.0,501256192.0,1.98465056768e+11,6.930,1.580,0.520,4496564.0,2904.0
