"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.jayan-qv41917.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","jayan"
"Cmdline:","dstat --time --cpu --mem --load --net --output 2_32_ps_fake.csv 2 2000",,,,"Date:","16 Oct 2018 18:52:23 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m","recv","send"
16-10 18:52:23,3.977,0.617,95.387,0.009,0.0,0.010,1187090432.0,35196928.0,772657152.0,1.99275368448e+11,0.440,1.460,1.990,0.0,0.0
16-10 18:52:25,0.012,0.012,99.975,0.0,0.0,0.0,1186852864.0,35196928.0,772661248.0,1.9927560192e+11,0.400,1.430,1.980,6900.0,1255.0
16-10 18:52:27,0.013,0.013,99.975,0.0,0.0,0.0,1187512320.0,35205120.0,772661248.0,1.99274934272e+11,0.400,1.430,1.980,6799.0,2927.0
16-10 18:52:29,0.013,0.0,99.987,0.0,0.0,0.0,1187254272.0,35205120.0,772661248.0,1.9927519232e+11,0.370,1.410,1.970,6495.0,455.0
16-10 18:52:31,0.013,0.0,99.987,0.0,0.0,0.0,1186988032.0,35205120.0,772661248.0,1.9927545856e+11,0.370,1.410,1.970,6930.0,661.0
16-10 18:52:33,0.025,0.025,99.950,0.0,0.0,0.0,1187098624.0,35213312.0,772661248.0,1.99275339776e+11,0.370,1.410,1.970,7185.0,1056.0
16-10 18:52:35,0.013,0.0,99.987,0.0,0.0,0.0,1187213312.0,35213312.0,772661248.0,1.99275225088e+11,0.340,1.390,1.960,6510.0,0.0
16-10 18:52:37,0.012,0.012,99.975,0.0,0.0,0.0,1187045376.0,35213312.0,772661248.0,1.99275393024e+11,0.340,1.390,1.960,7265.0,461.0
16-10 18:52:39,0.013,0.0,99.987,0.0,0.0,0.0,1187045376.0,35221504.0,772653056.0,1.99275393024e+11,0.310,1.360,1.950,7283.0,227.0
16-10 18:52:41,0.013,0.013,99.975,0.0,0.0,0.0,1187024896.0,35221504.0,772661248.0,1.99275405312e+11,0.310,1.360,1.950,6195.0,179.0
16-10 18:52:43,3.267,3.105,93.628,0.0,0.0,0.0,1308184576.0,35221504.0,772661248.0,1.99154245632e+11,0.310,1.360,1.950,5745.0,943.0
16-10 18:52:45,1.689,1.489,96.821,0.0,0.0,0.0,1343197184.0,35229696.0,772653056.0,1.99119233024e+11,3.490,2.0,2.150,6460.500,1160.500
16-10 18:52:47,5.386,1.250,93.352,0.0,0.0,0.012,2147418112.0,35233792.0,773427200.0,1.98314233856e+11,3.490,2.0,2.150,6237.0,43285.500
16-10 18:52:49,18.449,3.025,78.414,0.0,0.0,0.113,2229256192.0,35233792.0,773619712.0,1.98232203264e+11,3.370,2.0,2.150,127840849.500,140987362.0
