"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.jayan-qv41917.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","jayan"
"Cmdline:","dstat --time --cpu --mem --load --net --output 4_nodes.csv 2 2000",,,,"Date:","15 Oct 2018 10:26:50 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m","recv","send"
15-10 10:26:50,2.811,0.511,96.654,0.009,0.0,0.015,1243250688.0,90767360.0,2762293248.0,1.97174001664e+11,0.060,0.040,1.600,0.0,0.0
15-10 10:26:52,0.0,0.0,100.0,0.0,0.0,0.0,1242820608.0,90775552.0,2762297344.0,1.97174419456e+11,0.050,0.040,1.590,8043.0,1190.0
15-10 10:26:54,0.012,0.025,99.963,0.0,0.0,0.0,1243209728.0,90775552.0,2762297344.0,1.97174030336e+11,0.050,0.040,1.590,7193.0,3430.0
15-10 10:26:56,0.013,0.025,99.962,0.0,0.0,0.0,1245503488.0,90783744.0,2762289152.0,1.97171736576e+11,0.050,0.040,1.590,6315.0,61.0
15-10 10:26:58,3.478,3.328,93.194,0.0,0.0,0.0,1364549632.0,90783744.0,2762297344.0,1.9705268224e+11,0.130,0.060,1.590,7203.0,975.0
15-10 10:27:00,1.649,1.786,96.565,0.0,0.0,0.0,1514364928.0,90783744.0,2762297344.0,1.96902866944e+11,0.130,0.060,1.590,8839.500,2126.0
15-10 10:27:02,5.159,1.349,93.492,0.0,0.0,0.0,2237149184.0,90791936.0,2763329536.0,1.96179042304e+11,0.360,0.110,1.600,6960.0,282.0
15-10 10:27:04,27.157,9.309,63.319,0.0,0.0,0.215,3906727936.0,90791936.0,2763337728.0,1.9450945536e+11,0.360,0.110,1.600,31630.0,145606241.500
15-10 10:27:06,53.414,12.963,33.258,0.0,0.0,0.365,5898579968.0,90791936.0,2763337728.0,1.92517603328e+11,0.360,0.110,1.600,119286442.0,23191.500
15-10 10:27:08,43.778,10.954,44.750,0.252,0.0,0.265,7934185472.0,90804224.0,2992447488.0,1.90252875776e+11,3.210,0.700,1.780,42806.500,145569092.500
15-10 10:27:10,46.605,11.506,41.567,0.0,0.0,0.322,10411814912.0,90804224.0,2992447488.0,1.87775246336e+11,3.210,0.700,1.780,119304875.0,132048331.500
15-10 10:27:12,57.152,10.219,32.082,0.140,0.0,0.407,12417802240.0,90812416.0,2992705536.0,1.85768992768e+11,6.880,1.510,2.040,119286348.0,13548361.500
15-10 10:27:14,50.057,10.217,39.357,0.0,0.0,0.369,14259810304.0,90812416.0,2993139712.0,1.83926550528e+11,6.880,1.510,2.040,119259089.0,145585204.500
15-10 10:27:16,51.322,9.929,38.482,0.0,0.0,0.267,16229093376.0,90812416.0,2993549312.0,1.81956857856e+11,6.880,1.510,2.040,41646807.500,145576006.0
15-10 10:27:18,45.477,10.308,43.846,0.013,0.0,0.357,18744401920.0,90820608.0,2993885184.0,1.79441205248e+11,10.490,2.350,2.300,77758811.500,145575727.0
15-10 10:27:20,53.967,10.039,35.558,0.0,0.0,0.436,20690702336.0,90820608.0,2993885184.0,1.77494904832e+11,10.490,2.350,2.300,119284326.500,12026.500
