"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.jayan-qv41917.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","jayan"
"Cmdline:","dstat --time --cpu --mem --load --net --output 4_256_ps_fake_1.csv 2 2000",,,,"Date:","16 Oct 2018 19:21:15 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m","recv","send"
16-10 19:21:15,3.982,0.617,95.381,0.009,0.0,0.011,2857971712.0,38199296.0,1068785664.0,1.97305356288e+11,7.160,5.110,3.170,0.0,0.0
16-10 19:21:17,0.012,0.025,99.963,0.0,0.0,0.0,2856984576.0,38199296.0,1068789760.0,1.97306339328e+11,6.590,5.030,3.150,7668.0,1462.0
16-10 19:21:19,0.013,0.0,99.987,0.0,0.0,0.0,2856595456.0,38199296.0,1068789760.0,1.97306728448e+11,6.590,5.030,3.150,6893.0,2783.0
16-10 19:21:21,0.0,0.013,99.975,0.013,0.0,0.0,2856562688.0,38207488.0,1068781568.0,1.97306761216e+11,6.060,4.940,3.140,6338.0,142.0
16-10 19:21:23,0.0,0.025,99.975,0.0,0.0,0.0,2856046592.0,38207488.0,1068789760.0,1.9730726912e+11,6.060,4.940,3.140,7039.0,261.0
16-10 19:21:25,0.0,0.013,99.987,0.0,0.0,0.0,2855538688.0,38207488.0,1068789760.0,1.97307777024e+11,6.060,4.940,3.140,7230.0,130.0
16-10 19:21:27,0.0,0.013,99.987,0.0,0.0,0.0,2855538688.0,38215680.0,1068781568.0,1.97307777024e+11,5.570,4.860,3.120,6690.0,0.0
16-10 19:21:29,0.0,0.013,99.987,0.0,0.0,0.0,2855149568.0,38215680.0,1068789760.0,1.97308157952e+11,5.570,4.860,3.120,6840.0,33.0
16-10 19:21:31,0.0,0.013,99.987,0.0,0.0,0.0,2855124992.0,38215680.0,1068789760.0,1.97308182528e+11,5.130,4.780,3.100,6300.0,0.0
16-10 19:21:33,0.0,0.013,99.987,0.0,0.0,0.0,2855124992.0,38223872.0,1068781568.0,1.97308182528e+11,5.130,4.780,3.100,5790.0,0.0
16-10 19:21:35,0.013,0.013,99.975,0.0,0.0,0.0,2855886848.0,38223872.0,1068789760.0,1.9730741248e+11,5.130,4.780,3.100,7122.500,661.500
16-10 19:21:37,0.0,0.013,99.987,0.0,0.0,0.0,2856591360.0,38223872.0,1068789760.0,1.97306707968e+11,4.720,4.700,3.080,7603.0,663.0
16-10 19:21:39,0.0,0.025,99.975,0.0,0.0,0.0,2856124416.0,38232064.0,1068781568.0,1.97307174912e+11,4.720,4.700,3.080,7666.0,426.500
16-10 19:21:41,0.0,0.0,100.0,0.0,0.0,0.0,2854821888.0,38232064.0,1068789760.0,1.97308469248e+11,4.340,4.620,3.070,6900.0,0.0
16-10 19:21:43,0.0,0.025,99.975,0.0,0.0,0.0,2854477824.0,38232064.0,1068789760.0,1.97308813312e+11,4.340,4.620,3.070,6090.0,0.0
16-10 19:21:45,0.0,0.013,99.987,0.0,0.0,0.0,2854350848.0,38240256.0,1068781568.0,1.97308940288e+11,4.340,4.620,3.070,6840.0,0.0
16-10 19:21:47,0.0,0.025,99.975,0.0,0.0,0.0,2854342656.0,38240256.0,1068789760.0,1.97308940288e+11,3.990,4.540,3.050,7050.0,0.0
16-10 19:21:49,0.0,0.013,99.987,0.0,0.0,0.0,2854305792.0,38240256.0,1068789760.0,1.97308977152e+11,3.990,4.540,3.050,6990.0,0.0
16-10 19:21:51,0.0,0.0,100.0,0.0,0.0,0.0,2854305792.0,38248448.0,1068781568.0,1.97308977152e+11,3.670,4.470,3.030,7020.0,0.0
16-10 19:21:53,0.013,0.013,99.975,0.0,0.0,0.0,2854297600.0,38248448.0,1068789760.0,1.97308977152e+11,3.670,4.470,3.030,6960.0,0.0
16-10 19:21:55,0.0,0.013,99.987,0.0,0.0,0.0,2854297600.0,38248448.0,1068789760.0,1.97308977152e+11,3.670,4.470,3.030,7200.0,0.0
16-10 19:21:57,0.0,0.025,99.975,0.0,0.0,0.0,2854297600.0,38256640.0,1068781568.0,1.97308977152e+11,3.380,4.390,3.020,6840.0,0.0
16-10 19:21:59,0.0,0.0,100.0,0.0,0.0,0.0,2854289408.0,38256640.0,1068789760.0,1.97308977152e+11,3.380,4.390,3.020,7230.0,0.0
16-10 19:22:01,3.140,3.428,93.432,0.0,0.0,0.0,2969399296.0,38256640.0,1068789760.0,1.97193867264e+11,3.190,4.340,3.010,7425.0,943.0
16-10 19:22:03,2.438,0.075,97.487,0.0,0.0,0.0,2999033856.0,38264832.0,1068781568.0,1.97164232704e+11,3.190,4.340,3.010,7080.0,0.0
16-10 19:22:05,1.075,2.424,96.501,0.0,0.0,0.0,3260878848.0,38264832.0,1068789760.0,1.9690237952e+11,3.190,4.340,3.010,6961.500,1499.0
16-10 19:22:07,5.621,0.787,93.580,0.0,0.0,0.012,3284738048.0,38268928.0,1070542848.0,1.96876763136e+11,3.010,4.280,3.0,6436.0,204.0
16-10 19:22:09,20.058,2.776,76.978,0.0,0.0,0.188,4298346496.0,38277120.0,1070534656.0,1.95863154688e+11,3.010,4.280,3.0,579622.0,383408072.500
16-10 19:22:11,50.624,13.944,35.382,0.0,0.0,0.050,3971702784.0,38277120.0,1070546944.0,1.96189786112e+11,6.930,5.070,3.260,479431.500,315755642.0
16-10 19:22:13,11.049,1.539,87.325,0.0,0.0,0.088,3299999744.0,38277120.0,1070546944.0,1.96861489152e+11,6.930,5.070,3.260,125763537.500,26288.500
16-10 19:22:15,0.013,0.025,99.962,0.0,0.0,0.0,3298967552.0,38285312.0,1070538752.0,1.96862521344e+11,6.930,5.070,3.260,2043914.0,950.500
16-10 19:22:17,13.052,2.282,84.529,0.0,0.0,0.138,3813285888.0,38334464.0,1070903296.0,1.96347789312e+11,6.460,5.010,3.250,616333.500,383331246.500
16-10 19:22:19,22.279,5.479,72.167,0.0,0.0,0.075,4630200320.0,38334464.0,1070903296.0,1.9553087488e+11,6.460,5.010,3.250,491691.0,315755992.500
16-10 19:22:21,44.401,2.974,52.249,0.275,0.0,0.100,3800154112.0,38342656.0,1070899200.0,1.96360916992e+11,6.340,5.010,3.260,123907148.500,58746.0
16-10 19:22:23,2.377,0.075,97.423,0.125,0.0,0.0,3318157312.0,38477824.0,1070829568.0,1.96842848256e+11,6.340,5.010,3.260,3270100.0,5966.0
16-10 19:22:25,13.679,2.455,83.690,0.0,0.0,0.175,3866398720.0,38486016.0,1071267840.0,1.96294160384e+11,6.340,5.010,3.260,1270783.0,383331952.0
16-10 19:22:27,26.519,3.943,69.437,0.0,0.0,0.100,4630941696.0,38486016.0,1071267840.0,1.95529617408e+11,6.230,5.010,3.270,487043.0,315755757.500
16-10 19:22:29,39.259,3.253,57.363,0.0,0.0,0.125,3656507392.0,38486016.0,1071267840.0,1.96504051712e+11,6.230,5.010,3.270,123907159.500,24858.0
16-10 19:22:31,1.751,0.063,98.187,0.0,0.0,0.0,3317006336.0,38494208.0,1071267840.0,1.96843544576e+11,5.730,4.920,3.250,3265225.0,2350.0
16-10 19:22:33,8.418,1.804,89.678,0.0,0.0,0.100,3644297216.0,38494208.0,1071624192.0,1.96515897344e+11,5.730,4.920,3.250,1109629.500,294503260.500
16-10 19:22:35,14.440,3.745,81.641,0.0,0.0,0.175,4550762496.0,38494208.0,1071624192.0,1.95609432064e+11,5.730,4.920,3.250,530187.0,404583646.0
16-10 19:22:37,54.446,6.419,39.011,0.0,0.0,0.125,3748077568.0,38494208.0,1071624192.0,1.96412116992e+11,8.960,5.600,3.480,123895438.0,21907.0
16-10 19:22:39,4.637,0.200,95.163,0.0,0.0,0.0,3319513088.0,38502400.0,1071624192.0,1.9684067328e+11,8.960,5.600,3.480,3276902.500,2005.0
16-10 19:22:41,7.742,1.353,90.842,0.0,0.0,0.063,3643650048.0,38502400.0,1071624192.0,1.9651653632e+11,9.040,5.680,3.510,1135071.500,287214052.0
16-10 19:22:43,16.261,2.984,80.554,0.0,0.0,0.201,4433096704.0,38502400.0,1071980544.0,1.95726733312e+11,9.040,5.680,3.510,593923.0,411872887.0
16-10 19:22:45,53.953,4.941,41.018,0.0,0.0,0.088,3759185920.0,38502400.0,1071980544.0,1.96400644096e+11,9.040,5.680,3.510,123893953.500,21438.500
16-10 19:22:47,4.189,0.275,95.536,0.0,0.0,0.0,3325505536.0,38510592.0,1071980544.0,1.96834316288e+11,8.480,5.620,3.510,3277508.0,1710.0
16-10 19:22:49,9.186,1.531,89.145,0.0,0.0,0.138,3710869504.0,38510592.0,1071980544.0,1.9644895232e+11,8.480,5.620,3.510,1226194.0,358762804.0
16-10 19:22:51,20.430,3.678,75.766,0.0,0.0,0.125,5261443072.0,38510592.0,1072336896.0,1.948980224e+11,11.0,6.190,3.700,513291.500,340326124.0
16-10 19:22:53,48.833,5.935,45.157,0.0,0.0,0.075,3748687872.0,38518784.0,1072336896.0,1.96410769408e+11,11.0,6.190,3.700,123906691.500,32016.500
16-10 19:22:55,3.704,0.063,96.233,0.0,0.0,0.0,3318317056.0,38518784.0,1072336896.0,1.96841140224e+11,11.0,6.190,3.700,3264775.0,1657.0
16-10 19:22:57,9.774,1.591,88.596,0.0,0.0,0.038,3708076032.0,38518784.0,1072336896.0,1.96451381248e+11,10.120,6.080,3.680,1219818.500,371982107.0
16-10 19:22:59,24.061,4.058,71.705,0.0,0.0,0.176,4526419968.0,38526976.0,1072689152.0,1.95632676864e+11,10.120,6.080,3.680,416678.0,327105181.0
16-10 19:23:01,45.952,4.180,49.818,0.0,0.0,0.050,3749474304.0,38526976.0,1072689152.0,1.96409622528e+11,9.630,6.050,3.680,122668670.500,23628.500
16-10 19:23:03,2.838,0.113,97.037,0.0,0.0,0.013,3324841984.0,38526976.0,1072689152.0,1.96834254848e+11,9.630,6.050,3.680,4501591.0,3859.0
16-10 19:23:05,6.274,1.177,92.498,0.0,0.0,0.050,3590180864.0,38543360.0,1073037312.0,1.96568551424e+11,9.630,6.050,3.680,981959.500,202378065.0
16-10 19:23:07,15.134,2.550,82.128,0.0,0.0,0.188,4762636288.0,38543360.0,1073049600.0,1.95396083712e+11,9.260,6.030,3.690,674881.0,467515238.500
16-10 19:23:09,55.809,12.708,31.395,0.013,0.0,0.075,3747561472.0,38543360.0,1073053696.0,1.96411154432e+11,9.260,6.030,3.690,122682177.0,29227591.0
16-10 19:23:11,4.826,0.175,94.999,0.0,0.0,0.0,3320864768.0,38551552.0,1073045504.0,1.96837851136e+11,8.520,5.930,3.670,4514572.500,2824.0
16-10 19:23:13,8.378,1.392,90.167,0.0,0.0,0.063,3678359552.0,38551552.0,1073053696.0,1.9648034816e+11,8.520,5.930,3.670,1224531.500,317218017.0
16-10 19:23:15,19.335,3.450,77.102,0.0,0.0,0.113,5215485952.0,38551552.0,1073410048.0,1.94942865408e+11,8.520,5.930,3.670,579324.0,381870056.500
16-10 19:23:17,49.813,4.320,45.793,0.0,0.0,0.075,3887329280.0,38559744.0,1073401856.0,1.9627102208e+11,11.440,6.580,3.890,122666792.500,21351.0
16-10 19:23:19,4.035,0.125,95.840,0.0,0.0,0.0,3334852608.0,38559744.0,1073410048.0,1.9682349056e+11,11.440,6.580,3.890,4505758.0,2429.0
16-10 19:23:21,5.129,1.314,93.507,0.0,0.0,0.050,3688116224.0,38559744.0,1073410048.0,1.96470226944e+11,11.640,6.700,3.950,951046.0,159393467.0
16-10 19:23:23,16.596,2.467,80.724,0.0,0.0,0.213,4655390720.0,38559744.0,1073770496.0,1.95502592e+11,11.640,6.700,3.950,680733.0,446856320.0
16-10 19:23:25,56.098,12.147,31.655,0.012,0.0,0.087,3895758848.0,38567936.0,1073770496.0,1.9626221568e+11,11.640,6.700,3.950,123985230.500,92859723.500
16-10 19:23:27,5.405,0.200,94.394,0.0,0.0,0.0,3341459456.0,38567936.0,1073770496.0,1.96816515072e+11,10.870,6.630,3.940,3294259.0,2350.0
16-10 19:23:29,9.246,1.493,89.111,0.0,0.0,0.151,3722788864.0,38567936.0,1073770496.0,1.96435185664e+11,10.870,6.630,3.940,1232667.0,352217247.500
16-10 19:23:31,19.855,3.395,76.613,0.0,0.0,0.138,5402697728.0,38576128.0,1074135040.0,1.94754904064e+11,10.870,6.630,3.940,459813.0,346869859.0
16-10 19:23:33,48.923,10.373,40.604,0.013,0.0,0.088,3769987072.0,38576128.0,1074135040.0,1.9638761472e+11,13.200,7.180,4.130,123905563.0,31401.500
16-10 19:23:35,3.689,0.100,96.211,0.0,0.0,0.0,3344662528.0,38576128.0,1074135040.0,1.96812939264e+11,13.200,7.180,4.130,3268727.500,1710.0
16-10 19:23:37,10.983,1.793,87.136,0.0,0.0,0.088,3801489408.0,38584320.0,1074135040.0,1.96356104192e+11,12.150,7.060,4.110,1275004.0,383331717.500
16-10 19:23:39,20.0,4.008,75.917,0.0,0.0,0.075,4191363072.0,38584320.0,1074495488.0,1.9596587008e+11,12.150,7.060,4.110,465372.0,315755599.500
16-10 19:23:41,46.622,4.128,49.187,0.013,0.0,0.050,3775762432.0,38584320.0,1074495488.0,1.9638147072e+11,12.150,7.060,4.110,123909964.500,26257.0
16-10 19:23:43,3.240,0.275,96.485,0.0,0.0,0.0,3347300352.0,38592512.0,1074487296.0,1.968099328e+11,11.490,7.010,4.110,3265564.0,2139.0
16-10 19:23:45,11.813,1.768,86.293,0.0,0.0,0.125,3822247936.0,38592512.0,1074515968.0,1.96334956544e+11,11.490,7.010,4.110,1253191.0,383332101.500
16-10 19:23:47,23.258,4.132,72.510,0.0,0.0,0.100,4634591232.0,38592512.0,1074880512.0,1.95522248704e+11,10.970,6.980,4.110,506454.0,315755599.500
16-10 19:23:49,44.351,3.536,52.025,0.013,0.0,0.075,3778760704.0,38600704.0,1074880512.0,1.9637807104e+11,10.970,6.980,4.110,123911653.500,30583.0
16-10 19:23:51,3.238,0.150,96.612,0.0,0.0,0.0,3336839168.0,38600704.0,1074880512.0,1.96819992576e+11,10.970,6.980,4.110,3267217.0,2053.0
16-10 19:23:53,9.567,1.701,88.594,0.0,0.0,0.138,3722088448.0,38600704.0,1074880512.0,1.96434743296e+11,10.100,6.860,4.090,1263545.500,362136929.500
16-10 19:23:55,22.517,4.521,72.762,0.0,0.0,0.201,4349607936.0,38608896.0,1075249152.0,1.95806846976e+11,10.100,6.860,4.090,486927.0,336950338.0
16-10 19:23:57,46.507,3.550,49.831,0.012,0.0,0.100,3778514944.0,38608896.0,1075249152.0,1.96377939968e+11,10.090,6.910,4.120,123911121.500,19713.500
16-10 19:23:59,3.023,0.225,96.752,0.0,0.0,0.0,3354255360.0,38608896.0,1075249152.0,1.96802199552e+11,10.090,6.910,4.120,3266662.0,1789.0
