"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.jayan-qv41917.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","jayan"
"Cmdline:","dstat --time --cpu --mem --load --net --output 4_64_ps_fake.csv 2 2000",,,,"Date:","16 Oct 2018 19:08:58 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m","recv","send"
16-10 19:08:58,3.967,0.615,95.398,0.009,0.0,0.010,1005842432.0,36315136.0,1037692928.0,1.99190462464e+11,0.050,1.100,1.510,0.0,0.0
16-10 19:09:00,0.012,0.0,99.988,0.0,0.0,0.0,1005522944.0,36315136.0,1037697024.0,1.99190777856e+11,0.050,1.080,1.500,8674.0,1022.0
16-10 19:09:02,0.013,0.013,99.975,0.0,0.0,0.0,1005543424.0,36315136.0,1037697024.0,1.99190757376e+11,0.050,1.080,1.500,9383.0,2715.0
16-10 19:09:04,0.0,0.013,99.987,0.0,0.0,0.0,1005338624.0,36323328.0,1037697024.0,1.99190953984e+11,0.050,1.080,1.500,9488.0,454.0
16-10 19:09:06,0.0,0.025,99.975,0.0,0.0,0.0,1005068288.0,36323328.0,1037697024.0,1.9919122432e+11,0.040,1.060,1.490,8989.0,664.0
16-10 19:09:08,2.654,4.019,93.327,0.0,0.0,0.0,1194176512.0,36323328.0,1037697024.0,1.99002116096e+11,0.040,1.060,1.490,8010.0,1521.0
16-10 19:09:10,0.0,0.013,99.987,0.0,0.0,0.0,1195286528.0,36331520.0,1037697024.0,1.99000997888e+11,0.040,1.040,1.480,7950.0,479.0
16-10 19:09:12,0.0,0.025,99.975,0.0,0.0,0.0,1194532864.0,36331520.0,1037697024.0,1.99001751552e+11,0.040,1.040,1.480,9285.0,449.0
16-10 19:09:14,0.0,0.013,99.987,0.0,0.0,0.0,1194135552.0,36331520.0,1037697024.0,1.99002148864e+11,0.040,1.040,1.480,10030.0,567.0
16-10 19:09:16,0.025,0.037,99.938,0.0,0.0,0.0,1194520576.0,36339712.0,1037697024.0,1.99001755648e+11,0.040,1.030,1.470,11194.0,1767.0
16-10 19:09:18,2.077,2.177,95.746,0.0,0.0,0.0,1304793088.0,36339712.0,1037697024.0,1.98891483136e+11,0.040,1.030,1.470,10110.0,1008.0
16-10 19:09:20,2.475,0.038,97.487,0.0,0.0,0.0,1335091200.0,36339712.0,1037697024.0,1.98861185024e+11,0.110,1.030,1.470,9180.0,0.0
16-10 19:09:22,1.509,2.233,96.257,0.0,0.0,0.0,1389268992.0,36347904.0,1037697024.0,1.9880699904e+11,0.110,1.030,1.470,9112.500,2049.0
16-10 19:09:24,5.404,1.348,93.248,0.0,0.0,0.0,2196369408.0,36352000.0,1039233024.0,1.97998358528e+11,0.110,1.030,1.470,7833.0,359.0
16-10 19:09:26,29.977,2.988,66.859,0.0,0.0,0.176,2476908544.0,36352000.0,1039450112.0,1.97717602304e+11,5.710,2.170,1.840,20274282.500,462366484.500
16-10 19:09:28,11.150,4.408,84.293,0.012,0.0,0.137,2543054848.0,36605952.0,1040293888.0,1.97650358272e+11,5.710,2.170,1.840,108504020.500,103939493.0
16-10 19:09:30,31.428,2.927,65.431,0.0,0.0,0.214,2375974912.0,36605952.0,1039802368.0,1.97817929728e+11,5.570,2.200,1.850,128334877.0,358416357.500
16-10 19:09:32,34.205,3.493,62.063,0.0,0.0,0.239,2391003136.0,36605952.0,1040150528.0,1.97802553344e+11,5.570,2.200,1.850,126456716.0,462314251.0
16-10 19:09:34,24.664,3.075,71.545,0.527,0.0,0.188,2825080832.0,36618240.0,1040498688.0,1.973681152e+11,5.570,2.200,1.850,2770948.500,462271789.500
16-10 19:09:36,23.578,2.988,73.183,0.0,0.0,0.251,2873704448.0,36618240.0,1040850944.0,1.97319139328e+11,5.450,2.230,1.860,128426548.500,383367891.0
16-10 19:09:38,27.850,2.506,69.519,0.0,0.0,0.125,2777985024.0,36626432.0,1040842752.0,1.97414858752e+11,5.450,2.230,1.860,128046593.500,126325924.0
16-10 19:09:40,32.401,3.910,63.477,0.0,0.0,0.212,2522808320.0,36626432.0,1041199104.0,1.97669679104e+11,5.330,2.260,1.870,127736915.0,414955975.0
16-10 19:09:42,32.885,3.944,62.944,0.0,0.0,0.226,2902384640.0,36626432.0,1041551360.0,1.97289750528e+11,5.330,2.260,1.870,125303492.500,462305063.500
16-10 19:09:44,31.089,3.234,65.551,0.0,0.0,0.125,2728030208.0,36634624.0,1041903616.0,1.97463744512e+11,5.330,2.260,1.870,4599460.0,462271735.500
16-10 19:09:46,19.910,2.667,77.235,0.0,0.0,0.188,3077148672.0,36638720.0,1042259968.0,1.971142656e+11,5.220,2.290,1.880,128431130.0,412588187.500
16-10 19:09:48,28.937,3.429,67.496,0.0,0.0,0.138,2815897600.0,36638720.0,1042259968.0,1.97375516672e+11,5.220,2.290,1.880,128130189.0,168568643.0
16-10 19:09:50,30.999,3.344,65.456,0.0,0.0,0.200,2623143936.0,36646912.0,1042608128.0,1.97567913984e+11,5.130,2.320,1.900,128305139.0,343478790.500
16-10 19:09:52,33.600,3.635,62.541,0.0,0.0,0.225,2668625920.0,36646912.0,1042968576.0,1.97522071552e+11,5.130,2.320,1.900,126442746.0,462296698.0
16-10 19:09:54,31.032,3.281,65.560,0.0,0.0,0.126,2867142656.0,36646912.0,1043320832.0,1.9732320256e+11,5.130,2.320,1.900,47987115.0,462280481.500
16-10 19:09:56,21.933,2.649,75.267,0.0,0.0,0.151,3105951744.0,36655104.0,1043673088.0,1.97084033024e+11,5.040,2.350,1.910,83342277.500,462290969.0
16-10 19:09:58,30.086,8.562,61.138,0.013,0.0,0.201,3076005888.0,36655104.0,1043673088.0,1.9711397888e+11,5.040,2.350,1.910,128320648.0,316655599.0
16-10 19:10:00,30.671,3.580,65.586,0.0,0.0,0.163,2974982144.0,36655104.0,1044029440.0,1.97214646272e+11,4.950,2.380,1.920,128107309.500,202474266.0
16-10 19:10:02,32.223,2.919,64.645,0.0,0.0,0.213,2787254272.0,36663296.0,1044385792.0,1.974020096e+11,4.950,2.380,1.920,127745551.500,405528252.500
16-10 19:10:04,32.256,4.009,63.510,0.0,0.0,0.225,3099582464.0,36663296.0,1044746240.0,1.9708932096e+11,4.950,2.380,1.920,125220341.0,462294748.500
16-10 19:10:06,29.186,2.985,67.678,0.0,0.0,0.151,3265216512.0,36663296.0,1045106688.0,1.96923326464e+11,4.560,2.340,1.910,4593051.0,462271918.0
16-10 19:10:08,21.150,2.431,76.206,0.0,0.0,0.213,3274964992.0,36671488.0,1045463040.0,1.9691321344e+11,4.560,2.340,1.910,128404366.0,383370333.500
16-10 19:10:10,31.007,3.734,65.108,0.0,0.0,0.151,3233456128.0,36671488.0,1045463040.0,1.96954722304e+11,8.680,3.230,2.200,128223937.0,263408991.0
16-10 19:10:12,30.429,2.774,66.621,0.0,0.0,0.176,2868359168.0,36671488.0,1045823488.0,1.97319458816e+11,8.680,3.230,2.200,128158497.0,277856609.500
16-10 19:10:14,34.452,8.211,57.085,0.0,0.0,0.251,2910363648.0,36683776.0,1046183936.0,1.972770816e+11,8.680,3.230,2.200,127884211.0,462303250.500
16-10 19:10:16,32.147,3.747,63.880,0.0,0.0,0.226,3135926272.0,36683776.0,1046544384.0,1.97051158528e+11,9.180,3.420,2.270,103197089.500,462294460.0
16-10 19:10:18,29.583,3.095,67.172,0.0,0.0,0.150,3312979968.0,36683776.0,1046908928.0,1.96873740288e+11,9.180,3.420,2.270,26623337.0,462278666.0
16-10 19:10:20,21.172,2.690,75.899,0.0,0.0,0.239,3257602048.0,36691968.0,1047269376.0,1.96928749568e+11,9.170,3.520,2.310,128348248.0,377294077.500
16-10 19:10:22,29.592,3.185,67.085,0.0,0.0,0.138,3109560320.0,36691968.0,1047269376.0,1.97076791296e+11,9.170,3.520,2.310,128126151.0,187448948.0
16-10 19:10:24,31.515,2.696,65.638,0.0,0.0,0.150,2902224896.0,36691968.0,1047633920.0,1.97283762176e+11,9.170,3.520,2.310,127652413.500,359900539.0
16-10 19:10:26,1.388,0.513,97.899,0.200,0.0,0.0,2480541696.0,36839424.0,1048010752.0,1.97704921088e+11,8.510,3.480,2.300,697505.0,1939.500
16-10 19:10:28,0.0,0.025,99.975,0.0,0.0,0.0,2477494272.0,36839424.0,1048010752.0,1.97707968512e+11,8.510,3.480,2.300,5700.0,173.0
16-10 19:10:30,0.0,0.0,100.0,0.0,0.0,0.0,2475716608.0,36839424.0,1048010752.0,1.97709746176e+11,7.830,3.420,2.290,5550.0,0.0
16-10 19:10:32,0.0,0.100,99.425,0.463,0.0,0.013,2474471424.0,36851712.0,1048010752.0,1.97710979072e+11,7.830,3.420,2.290,5550.0,0.0
16-10 19:10:34,0.0,0.013,99.987,0.0,0.0,0.0,2472943616.0,36851712.0,1048010752.0,1.9771250688e+11,7.830,3.420,2.290,4680.0,0.0
16-10 19:10:36,0.0,0.013,99.987,0.0,0.0,0.0,2471292928.0,36851712.0,1048010752.0,1.97714157568e+11,7.200,3.360,2.270,4590.0,0.0
16-10 19:10:38,0.0,0.013,99.987,0.0,0.0,0.0,2469900288.0,36859904.0,1048002560.0,1.97715550208e+11,7.200,3.360,2.270,5760.0,0.0
16-10 19:10:40,0.0,0.013,99.987,0.0,0.0,0.0,2468622336.0,36859904.0,1048010752.0,1.97716819968e+11,6.630,3.300,2.260,6618.500,295.0
16-10 19:10:42,0.0,0.037,99.963,0.0,0.0,0.0,2467708928.0,36859904.0,1048010752.0,1.97717733376e+11,6.630,3.300,2.260,5580.0,0.0
16-10 19:10:44,0.0,0.013,99.987,0.0,0.0,0.0,2466820096.0,36868096.0,1048002560.0,1.97718622208e+11,6.630,3.300,2.260,4860.0,0.0
16-10 19:10:46,0.0,0.025,99.975,0.0,0.0,0.0,2466811904.0,36868096.0,1048010752.0,1.97718622208e+11,6.100,3.250,2.250,6120.0,0.0
16-10 19:10:48,0.0,0.013,99.987,0.0,0.0,0.0,2466684928.0,36868096.0,1048010752.0,1.97718749184e+11,6.100,3.250,2.250,6600.0,0.0
16-10 19:10:50,0.013,0.013,99.975,0.0,0.0,0.0,2466181120.0,36876288.0,1048014848.0,1.97719240704e+11,5.610,3.190,2.240,6598.0,114.0
16-10 19:10:52,0.0,0.013,99.987,0.0,0.0,0.0,2466181120.0,36876288.0,1048014848.0,1.97719240704e+11,5.610,3.190,2.240,5730.0,0.0
16-10 19:10:54,0.0,0.025,99.975,0.0,0.0,0.0,2466054144.0,36876288.0,1048014848.0,1.9771936768e+11,5.610,3.190,2.240,5820.0,0.0
16-10 19:10:56,0.0,0.013,99.987,0.0,0.0,0.0,2466045952.0,36884480.0,1048014848.0,1.9771936768e+11,5.160,3.140,2.220,5640.0,0.0
16-10 19:10:58,0.0,0.012,99.988,0.0,0.0,0.0,2465792000.0,36884480.0,1048014848.0,1.97719621632e+11,5.160,3.140,2.220,5043.0,66.0
16-10 19:11:00,0.0,0.013,99.987,0.0,0.0,0.0,2465792000.0,36884480.0,1048014848.0,1.97719621632e+11,4.750,3.090,2.210,5040.0,227.0
16-10 19:11:02,0.0,0.012,99.975,0.012,0.0,0.0,2465538048.0,36892672.0,1048006656.0,1.97719875584e+11,4.750,3.090,2.210,5025.0,2977.0
16-10 19:11:04,0.013,0.013,99.975,0.0,0.0,0.0,2465591296.0,36892672.0,1048014848.0,1.97719814144e+11,4.750,3.090,2.210,5923.0,7522.0
16-10 19:11:06,0.012,0.025,99.963,0.0,0.0,0.0,2465591296.0,36892672.0,1048014848.0,1.97719814144e+11,4.360,3.040,2.200,5763.0,5231.0
16-10 19:11:08,0.0,0.025,99.975,0.0,0.0,0.0,2465337344.0,36900864.0,1048006656.0,1.97720068096e+11,4.360,3.040,2.200,4217.500,61.500
16-10 19:11:10,0.0,0.0,100.0,0.0,0.0,0.0,2465202176.0,36900864.0,1048014848.0,1.97720195072e+11,4.020,2.990,2.190,5460.0,5494.0
16-10 19:11:12,0.0,0.037,99.963,0.0,0.0,0.0,2465202176.0,36900864.0,1048014848.0,1.97720195072e+11,4.020,2.990,2.190,6285.0,619.0
16-10 19:11:14,0.013,0.025,99.962,0.0,0.0,0.0,2465247232.0,36913152.0,1048006656.0,1.9772014592e+11,4.020,2.990,2.190,6120.0,713.0
16-10 19:11:16,0.013,0.013,99.975,0.0,0.0,0.0,2464731136.0,36913152.0,1048014848.0,1.97720653824e+11,3.690,2.940,2.170,6240.0,848.0
16-10 19:11:18,0.013,0.075,99.912,0.0,0.0,0.0,2467307520.0,36913152.0,1048014848.0,1.9771807744e+11,3.690,2.940,2.170,5445.0,731.0
16-10 19:11:20,0.037,0.037,99.925,0.0,0.0,0.0,2467536896.0,36921344.0,1048006656.0,1.97717848064e+11,3.400,2.890,2.160,5775.0,709.0
16-10 19:11:22,0.013,0.037,99.950,0.0,0.0,0.0,2468397056.0,36921344.0,1048014848.0,1.97716979712e+11,3.400,2.890,2.160,5775.0,305.0
16-10 19:11:24,0.0,0.013,99.987,0.0,0.0,0.0,2467475456.0,36921344.0,1048014848.0,1.97717901312e+11,3.400,2.890,2.160,5445.0,325.0
16-10 19:11:26,0.0,0.013,99.987,0.0,0.0,0.0,2466283520.0,36929536.0,1048006656.0,1.97719093248e+11,3.120,2.840,2.150,5520.0,0.0
16-10 19:11:28,0.0,0.013,99.987,0.0,0.0,0.0,2465042432.0,36929536.0,1048014848.0,1.97720326144e+11,3.120,2.840,2.150,5640.0,0.0
