"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node-0.jayan-qv41917.uwmadison744-f18-pg0.wisc.cloudlab.us",,,,"User:","jayan"
"Cmdline:","dstat --time --cpu --mem --load --net --output 4_nodes_1.csv 2 2000",,,,"Date:","15 Oct 2018 11:29:28 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
"time","usr","sys","idl","wai","hiq","siq","used","buff","cach","free","1m","5m","15m","recv","send"
15-10 11:29:28,3.415,0.605,95.954,0.009,0.0,0.018,1254576128.0,98803712.0,3287449600.0,1.9662948352e+11,0.010,0.260,4.130,0.0,0.0
15-10 11:29:30,0.0,0.0,100.0,0.0,0.0,0.0,1254690816.0,98803712.0,3287453696.0,1.96629364736e+11,0.010,0.250,4.110,7170.0,819.0
15-10 11:29:32,0.0,0.013,99.987,0.0,0.0,0.0,1254670336.0,98803712.0,3287453696.0,1.96629385216e+11,0.010,0.250,4.110,8298.0,628.0
15-10 11:29:34,0.0,0.013,99.987,0.0,0.0,0.0,1254645760.0,98811904.0,3287453696.0,1.966294016e+11,0.010,0.250,4.080,7890.0,507.0
15-10 11:29:36,0.013,0.013,99.975,0.0,0.0,0.0,1254637568.0,98811904.0,3287453696.0,1.96629409792e+11,0.010,0.250,4.080,8126.0,3109.0
15-10 11:29:38,0.0,0.013,99.987,0.0,0.0,0.0,1254645760.0,98811904.0,3287453696.0,1.966294016e+11,0.010,0.250,4.080,8498.0,214.0
15-10 11:29:40,0.0,0.013,99.987,0.0,0.0,0.0,1254510592.0,98820096.0,3287453696.0,1.96629528576e+11,0.010,0.240,4.060,8386.0,272.0
15-10 11:29:42,0.0,0.013,99.987,0.0,0.0,0.0,1254510592.0,98820096.0,3287453696.0,1.96629528576e+11,0.010,0.240,4.060,7783.0,575.0
15-10 11:29:44,0.0,0.012,99.988,0.0,0.0,0.0,1254510592.0,98820096.0,3287453696.0,1.96629528576e+11,0.0,0.240,4.040,7189.0,105.0
15-10 11:29:46,0.013,0.025,99.963,0.0,0.0,0.0,1254502400.0,98828288.0,3287453696.0,1.96629528576e+11,0.0,0.240,4.040,8766.0,1107.0
15-10 11:29:48,0.0,0.013,99.987,0.0,0.0,0.0,1254502400.0,98828288.0,3287453696.0,1.96629528576e+11,0.0,0.240,4.040,7829.0,495.0
15-10 11:29:50,0.0,0.025,99.975,0.0,0.0,0.0,1254502400.0,98828288.0,3287453696.0,1.96629528576e+11,0.0,0.230,4.020,6465.0,92.0
15-10 11:29:52,0.0,0.025,99.975,0.0,0.0,0.0,1255645184.0,98836480.0,3287453696.0,1.966283776e+11,0.0,0.230,4.020,6315.0,61.0
15-10 11:29:54,3.468,3.881,92.651,0.0,0.0,0.0,1376669696.0,98836480.0,3287453696.0,1.96507353088e+11,0.080,0.250,4.0,6543.0,935.0
15-10 11:29:56,2.462,0.050,97.487,0.0,0.0,0.0,1405513728.0,98836480.0,3287453696.0,1.96478509056e+11,0.080,0.250,4.0,5940.0,0.0
15-10 11:29:58,1.113,2.401,96.487,0.0,0.0,0.0,1858625536.0,98844672.0,3287449600.0,1.96025393152e+11,0.080,0.250,4.0,7153.500,1974.500
15-10 11:30:00,6.075,0.839,93.086,0.0,0.0,0.0,2369212416.0,98844672.0,3289174016.0,1.95513081856e+11,0.320,0.290,3.990,5910.0,282.0
15-10 11:30:02,25.593,10.686,63.544,0.0,0.0,0.177,3914027008.0,98844672.0,3289174016.0,1.93968267264e+11,0.320,0.290,3.990,32575.500,7957750.0
15-10 11:30:04,52.930,11.872,34.807,0.0,0.0,0.392,5424791552.0,98852864.0,3289169920.0,1.92457498624e+11,5.180,1.300,4.300,119306039.500,428877179.500
15-10 11:30:06,39.209,11.118,49.403,0.0,0.0,0.270,7767412736.0,98852864.0,3519053824.0,1.89884993536e+11,5.180,1.300,4.300,802418.0,61828352.500
15-10 11:30:08,51.637,9.708,38.288,0.0,0.0,0.367,9084887040.0,98852864.0,3518939136.0,1.8856763392e+11,5.180,1.300,4.300,119249778.0,374909875.500
15-10 11:30:10,52.758,9.805,36.893,0.177,0.0,0.367,10370375680.0,98861056.0,3519520768.0,1.87281555456e+11,10.130,2.390,4.640,50559826.500,436711289.0
15-10 11:30:12,44.712,9.526,45.467,0.0,0.0,0.294,12282331136.0,98861056.0,3520135168.0,1.853689856e+11,10.130,2.390,4.640,70848009.0,436716182.0
15-10 11:30:14,60.137,9.794,29.649,0.0,0.0,0.420,14342123520.0,98861056.0,3520905216.0,1.83308423168e+11,10.120,2.520,4.670,119435549.0,41537353.500
15-10 11:30:16,58.313,9.933,31.287,0.013,0.0,0.454,16207118336.0,98869248.0,3521015808.0,1.81443309568e+11,10.120,2.520,4.670,119892713.0,395224938.0
15-10 11:30:18,50.361,9.237,40.137,0.0,0.0,0.266,17477169152.0,98869248.0,3521597440.0,1.8017267712e+11,10.120,2.520,4.670,46395766.500,436711640.500
15-10 11:30:20,48.734,9.989,40.858,0.0,0.0,0.420,20161986560.0,98869248.0,3522367488.0,1.77487089664e+11,12.590,3.160,4.860,74210858.500,340632683.0
15-10 11:30:22,60.668,10.401,28.550,0.0,0.0,0.381,21480747008.0,98877440.0,3522416640.0,1.76168271872e+11,12.590,3.160,4.860,119477754.500,96100324.500
15-10 11:30:24,57.570,9.937,32.051,0.0,0.0,0.443,23115284480.0,98877440.0,3522932736.0,1.74533218304e+11,15.830,3.990,5.120,115182729.0,436720400.500
15-10 11:30:26,55.181,10.019,34.495,0.0,0.0,0.305,24660013056.0,98877440.0,3523842048.0,1.72987580416e+11,15.830,3.990,5.120,5500176.0,436696665.0
15-10 11:30:28,49.171,10.556,39.737,0.013,0.0,0.523,27346841600.0,98885632.0,3524603904.0,1.70299981824e+11,15.830,3.990,5.120,119711694.500,222909662.0
15-10 11:30:30,59.861,10.305,29.422,0.0,0.0,0.412,29105782784.0,98885632.0,3524399104.0,1.6854124544e+11,23.370,5.750,5.680,119660574.500,213825870.0
15-10 11:30:32,57.310,9.221,33.100,0.0,0.0,0.369,30594080768.0,98885632.0,3525148672.0,1.67052197888e+11,23.370,5.750,5.680,60926436.0,436705864.0
15-10 11:30:34,53.082,9.779,36.707,0.0,0.0,0.431,32493326336.0,98893824.0,3525877760.0,1.6515221504e+11,23.420,6.050,5.780,59698928.0,436701674.0
15-10 11:30:36,52.874,10.954,35.768,0.0,0.0,0.404,34921488384.0,98893824.0,3526647808.0,1.62723282944e+11,23.420,6.050,5.780,119650561.500,192924905.0
15-10 11:30:38,59.601,10.847,29.145,0.0,0.0,0.407,36394389504.0,98893824.0,3526758400.0,1.61250271232e+11,23.420,6.050,5.780,119715258.500,243801983.0
15-10 11:30:40,54.475,10.432,34.764,0.0,0.0,0.329,37875621888.0,98902016.0,3527348224.0,1.59768440832e+11,22.500,6.150,5.820,81559608.500,436709403.0
15-10 11:30:42,46.527,11.415,41.719,0.0,0.0,0.340,40456228864.0,98902016.0,3527348224.0,1.57187833856e+11,22.500,6.150,5.820,38988601.0,342993296.500
15-10 11:30:44,60.544,10.295,28.727,0.0,0.0,0.434,42121596928.0,98902016.0,3527843840.0,1.55521970176e+11,24.470,6.830,6.040,119479169.0,93733180.500
15-10 11:30:46,59.341,8.970,31.224,0.0,0.0,0.465,43928281088.0,98910208.0,3528495104.0,1.5371462656e+11,24.470,6.830,6.040,119287644.500,436708948.0
15-10 11:30:48,56.647,9.685,33.338,0.0,0.0,0.330,45428768768.0,98910208.0,3529248768.0,1.52213385216e+11,24.470,6.830,6.040,22787018.0,436701238.0
15-10 11:30:50,48.938,11.036,39.542,0.0,0.0,0.483,48029925376.0,98918400.0,3530010624.0,1.4961145856e+11,27.950,7.840,6.370,98547284.0,388677252.500
15-10 11:30:52,58.653,10.384,30.607,0.0,0.0,0.355,49627533312.0,98918400.0,3529994240.0,1.48013867008e+11,27.950,7.840,6.370,119416119.0,48042746.500
15-10 11:30:54,52.439,10.806,36.325,0.025,0.0,0.404,51145011200.0,98918400.0,3530665984.0,1.46495717376e+11,32.360,9.090,6.780,119273643.500,436724088.0
15-10 11:30:56,57.236,9.503,32.943,0.0,0.0,0.318,52407402496.0,98926592.0,3531333632.0,1.4523265024e+11,32.360,9.090,6.780,33651104.0,436700003.500
15-10 11:30:58,49.595,9.060,40.750,0.0,0.0,0.596,54424096768.0,98926592.0,3531878400.0,1.432154112e+11,32.360,9.090,6.780,87757035.0,436704477.500
15-10 11:31:00,58.028,11.228,30.364,0.0,0.0,0.380,56784171008.0,98934784.0,3532640256.0,1.40854566912e+11,36.500,10.330,7.200,119448422.500,62084190.0
15-10 11:31:02,54.768,10.110,34.702,0.0,0.0,0.421,58165628928.0,98934784.0,3532496896.0,1.39473252352e+11,36.500,10.330,7.200,119850670.0,374643566.0
15-10 11:31:04,54.792,10.021,34.918,0.0,0.0,0.270,59811295232.0,98934784.0,3533041664.0,1.3782704128e+11,41.500,11.810,7.690,853270.0,436696332.0
15-10 11:31:06,48.627,9.733,41.147,0.0,0.0,0.494,62345416704.0,98942976.0,3533807616.0,1.35292145664e+11,41.500,11.810,7.690,119591963.500,253969377.0
15-10 11:31:08,60.280,10.205,28.997,0.0,0.0,0.518,63745478656.0,98942976.0,3533844480.0,1.33892046848e+11,41.500,11.810,7.690,119610649.500,182754772.0
15-10 11:31:10,56.430,9.613,33.477,0.0,0.0,0.480,65345798144.0,98942976.0,3534585856.0,1.32290985984e+11,38.980,11.780,7.700,90322022.0,436706307.500
15-10 11:31:12,55.378,10.148,34.055,0.013,0.0,0.405,67003179008.0,98951168.0,3535491072.0,1.30632691712e+11,38.980,11.780,7.700,30350948.0,436698268.0
15-10 11:31:14,48.048,10.470,41.060,0.0,0.0,0.422,69760905216.0,98951168.0,3536261120.0,1.27874195456e+11,41.940,12.840,8.070,119717633.500,218728985.500
15-10 11:31:16,61.713,8.834,29.004,0.0,0.0,0.449,71234523136.0,98951168.0,3536097280.0,1.26400741376e+11,41.940,12.840,8.070,119655484.0,218012873.500
15-10 11:31:18,57.755,10.133,31.642,0.0,0.0,0.469,73161478144.0,98959360.0,3536715776.0,1.2447315968e+11,41.940,12.840,8.070,119301784.500,436730970.0
15-10 11:31:20,49.746,8.985,40.964,0.0,0.0,0.305,74941956096.0,98959360.0,3537698816.0,1.22691698688e+11,45.150,13.990,8.470,1350555.0,436696884.500
15-10 11:31:22,51.731,10.333,37.502,0.0,0.0,0.434,77149270016.0,98967552.0,3538460672.0,1.2048361472e+11,45.150,13.990,8.470,119718880.0,232694026.500
15-10 11:31:24,60.169,9.627,29.813,0.0,0.0,0.391,78734221312.0,98967552.0,3538309120.0,1.18898814976e+11,45.140,14.510,8.660,119660295.0,204059091.0
15-10 11:31:26,58.322,10.014,31.153,0.0,0.0,0.511,80295526400.0,98967552.0,3538944000.0,1.17336875008e+11,45.140,14.510,8.660,114531105.500,436731513.0
15-10 11:31:28,48.704,9.390,41.652,0.0,0.0,0.254,82204897280.0,98975744.0,3539542016.0,1.1542689792e+11,45.140,14.510,8.660,6228513.0,436700392.0
15-10 11:31:30,52.830,9.873,36.929,0.0,0.0,0.368,84600217600.0,98975744.0,3540312064.0,1.13030807552e+11,46.890,15.380,8.980,119589888.0,177861848.0
15-10 11:31:32,59.523,9.447,30.622,0.0,0.0,0.408,86157123584.0,98975744.0,3540344832.0,1.114738688e+11,46.890,15.380,8.980,119693755.500,258899876.0
15-10 11:31:34,56.494,10.472,32.667,0.0,0.0,0.367,87614246912.0,98983936.0,3540987904.0,1.10016094208e+11,46.900,15.900,9.180,95521354.0,436715063.500
